rumor,truth,published_date,origin,url,truth_summary,rumor_province,rumor_city,category
黑痣越多，癌变的可能性越大,上述说法不正确。首先，痣的数量并不代表任何问题。每个人身上普遍都有5～20颗痣，随着年龄增长，每个人身上的痣都有可能增加，即使有些人身上有好几十颗痣，也是正常情况。其次，不是所有的黑色素痣都会癌变，演变成为黑色素瘤。黑色素痣恶变为黑色素瘤的概率在1∶100万左右，是非常低的。虽然恶变的可能性小，但黑色素瘤是死亡率最高的皮肤恶性肿瘤，占所有皮肤癌死亡患者的60%～70%。黑色素瘤早期可以通过淋巴结转移，一旦发生转移，患者生存率极低。因此，早发现、早预防、早治疗是最好的办法。,2024/8/15,“人卫健康”微信公众号,https://www.piyao.org.cn/20240815/145fd3a3e7bf478a9edcfa11d72c34f5/c.html,痣数量正常，恶变概率低但危险高，早发现早治疗关键。,无,无,科学常识
吉林一屠夫因土地纠纷杀害12人,近日，有网民在某视频平台发布视频称：“吉林省发生了一起刑事案件，有一名55岁的屠夫，因为土地矛盾纠纷问题，手持杀猪刀杀害了12个人，屠夫在逃亡途中跑到山林里被警方抓获。”该视频内容短时间内引起公众大量关注和讨论。经警方调查发现，视频中所称案发地并未发生此类案件，这则消息纯属子虚乌有，系黑龙江大庆网民吕某为了博取关注、吸引流量而编造发布的谣言。目前，大庆市公安机关已依据相关法律法规对吕某给予行政处罚。,2024/8/14,大庆市委网信办,https://www.piyao.org.cn/20240814/fdfdf933ea09487f855361c17f044f99/c.html,虚假视频称吉林屠夫持刀杀人，警方查明系谣言，发布者被处罚。,无,无,突发事件
一勺猪油等于五服药,这个说法实属无稽之谈。油好不好，要看脂肪酸的种类。猪油、牛油、羊油等动物脂肪中含饱和脂肪酸多，常温下呈固态。饱和脂肪酸中含有较多的胆固醇，摄入过多会导致血胆固醇、甘油三酯及低密度脂蛋白胆固醇升高，增加心血管疾病的风险。大豆油等植物油中不饱和脂肪酸较多，常温下呈液态。不饱和脂肪酸在体内具有降低血脂、改善血液循环、抑制血小板聚集、阻止动脉粥样硬化斑块和血栓形成等功效，有益于心血管疾病的防治。日常饮食应以植物油为主，并且经常更换烹调油的种类，让营养更全面。,2024/8/14,“健康中国”微信公众号,https://www.piyao.org.cn/20240814/fdfdf933ea09487f855361c17f044f99/c.html,油质好坏看脂肪酸，动物油脂含饱和，植物油脂不饱和，心血管健康关键。,无,无,食药卫生
上海地铁1号线有人持刀致部分乘客集中下车,8月13日，有网民在社交媒体反映，上海地铁1号线行驶至黄陂南路站时，车上乘客突然朝着一侧车厢奔跑，评论区有网民称系“车上有人持刀”所致。对此，“上海地铁”通过官方账号作出回应，“8月13日9时30分左右，1号线一大会址·黄陂南路站（往富锦路站方向）一列车内有乘客突发疾病，部分乘客受此影响集中下车。后车站工作人员协同民警将其带下车。期间没有人员受伤，未造成运营晚点。”,2024/8/13,“上海网络辟谣”微信公众号,https://www.piyao.org.cn/20240813/b18273cc0e194a8f9a66892b53a9a451/c.html,上海地铁回应：车内突发疾病致乘客奔跑，无人受伤无延误。,无,无,突发事件
晒太阳会让头发变白,该说法不严谨。实际上，头发变白与年龄、基因、种族、本身的发色等关系较大，个别时候，可能和紫外线、压力大、吸烟、服药、营养不良、免疫疾病等有关系。虽然，医学数据库上可以看到紫外线对老鼠的毛发有负面影响，但这是基于理想条件下的动物实验，相关结论不能简单复制到人身上。更何况，如今尚无任何有关日晒和白头发人群之间联系的研究。,2024/8/13,中国互联网联合辟谣平台,https://www.piyao.org.cn/20240813/b18273cc0e194a8f9a66892b53a9a451/c.html,头发变白多因年龄、基因等，紫外线等影响有限，缺乏人体研究证据。,无,无,科学常识
重庆某小区购买车位即可入读名校,近日，某网民发布信息称“在重庆某小区购买车位即可入读宏八、鲁巴等名校”，引发关注。经当地有关部门核实，该信息系虚假宣传，相关学校并未与该小区签订合作协议，购买车位入读名校纯属“子虚乌有”。,2024/8/12,“重庆辟谣”微信公众号,https://www.piyao.org.cn/20240812/7526785c659f40fb8f93863c40d6085f/c.html,虚假宣传称购小区车位可就读名校，实为子虚乌有。,重庆,无,公共政策
内蒙古呼和浩特市公租房可办理到个人名下,近期，有网民在微信朋友圈发布信息称，内蒙古呼和浩特市“现有几套公租房可直接办理到个人名下”，并对公租房明码标价：“公租房精装带家具家电的33000元，普通装修的28000元”。对此，呼和浩特市住房和城乡建设局郑重声明：该信息属于谣传虚假信息。同时提醒广大网民，一定要按照《呼和浩特市公共租赁住房管理办法》中的申请条件和申请流程去申请公共租赁住房，任何非官方渠道获取公共租赁住房的信息均为虚假信息，谨防上当受骗。如已造成经济损失，请及时向公安部门举报案件线索。,2024/8/12,内蒙古互联网举报中心、呼和浩特市住房和城乡建设局官网,https://www.piyao.org.cn/20240812/7526785c659f40fb8f93863c40d6085f/c.html,谣言称呼和浩特可直接办私人公租房，官方辟谣并提醒正规申请途径。,无,无,公共政策
户外遇到雷电天气了，要远离大树跑到空旷的地方,该说法不准确。遇到雷雨天气远离大树是正确的，但是也不应当跑到空旷地带。,2024/8/12,中国互联网联合辟谣平台,https://www.piyao.org.cn/20240812/7526785c659f40fb8f93863c40d6085f/c.html,避雷应远离大树和空旷地带。,无,无,公共安全
深圳市劳动仲裁“熔断”,最近，“深圳劳动仲裁熔断”“深圳市劳动人事争议仲裁委员会网上递交数量已达上限”等消息在多个网络平台传播，引发关注。深圳市人力资源和社会保障局表示，此消息纯属谣言。目前，深圳市劳动仲裁服务平台没有此类提示语，仲裁案件数量未见异常波动，受理及庭审工作均有序进行，市民可通过预约（现场）递交、邮寄递交和网上递交三种仲裁申请途径正常获得服务。网络流传的截图系今年年初系统升级期间的提示旧图。目前，网上递交功能已进行优化，且并未设置数量限制。,2024/8/9,广东省互联网举报中心,https://www.piyao.org.cn/20240809/1a83332d939140e38ea5e0acecc40138/c.html,深圳劳动仲裁无异常，网上递交无限制,广东,深圳,公共政策
舌尖尝甜，舌根尝苦,网上流传的所谓“味觉地图”，称舌尖对甜味最敏感，舌根更能感受到苦味，舌头两侧负责品尝酸咸……实际上，上述说法纯属误读，在人类的味觉系统中，并不存在这样的“地图”。科学家们发现味觉其实是通过分布在味蕾上的味觉受体细胞来感知的。在舌头上的味蕾中，这些味觉受体细胞的分布并没有显著的区位性差异，每个位置都可以感知到各种味道。,2024/8/9,科学辟谣,https://www.piyao.org.cn/20240809/1a83332d939140e38ea5e0acecc40138/c.html,味觉无特定地图，全舌均能感知各种味道。,无,无,科学常识
四川雅安芦山县发生山洪灾害致三十多人失联,近日，有网民发视频称，四川省雅安市芦山县发生一起严重的山洪灾害，目前已有三十多人失联。经当地网信部门核实，芦山县近日未发生山洪灾害，也无人员失联等情况。请广大网民从官方渠道获取权威信息，对于网络来源不明信息，不得随意转发或发布。,2024/8/8,四川互联网举报辟谣平台、芦山融视听,https://www.piyao.org.cn/20240808/613b5622f0dc471abf5ceeda8794debe/c.html,虚假山洪灾害信息流传，官方辟谣，提醒关注权威渠道。,无,无,突发事件
四川遂宁一高速隧道口垮塌,近日，有网民在社交账号上发布隧道坍塌视频，并配文“四川遂宁高速隧道口塌方瞬间，一小汽车惊险逃生”，引发关注。经核实，该消息系谣言。原视频为2022年7月5日，在四川汶马高速马尔康往汶川方向的通化1号隧道口发生的山体滑坡事件，当时未造成人员伤亡。,2024/8/7,四川互联网举报辟谣平台,https://www.piyao.org.cn/20240807/44caa9bc12d9416bafaff2994cdb5aca/c.html,四川遂宁隧道塌方系谣言，实为2022年汶马高速滑坡事件,四川,无,突发事件
重庆黔江发生5.2级地震,8月5日，某网民发布视频并配文“重庆市黔江区发生了5.2级地震”，引发关注。经向重庆市地震局、黔江区应急管理局核实，黔江区近期未发生地震，网传信息系谣言。,2024/8/6,“重庆辟谣”微信公众号,https://www.piyao.org.cn/20240806/b50ea956cf8a47debc8e04b317b13415/c.html,网民误报黔江5.2级地震，官方辟谣为谣言,重庆,无,突发事件
暴雨致北京昌平两男子踩树干顺流而下,近日，有自媒体账号发布标题为《北京市昌平区版西天取经》的视频，内容为两名男子脚踩树干顺流而下。经核实，该视频为广东东莞某街道积水视频，被移花接木编造谣言称事发于北京市昌平区。,2024/8/6,“北京网络举报”微信公众号,https://www.piyao.org.cn/20240806/b50ea956cf8a47debc8e04b317b13415/c.html,谣言视频误传，实际发生地为广东东莞。,北京,无,突发事件
西瓜和小龙虾一起吃会中毒,并非如此。西瓜富含维生素C，小龙虾肉质中含有五价砷化合物。有人认为，如果同时食用西瓜和小龙虾，维生素C会将五价砷氧化成三价砷，也就是三氧化二砷，俗称砒霜，会让人中毒。实际上，在正常饮食的情况下，二者一起食用中毒的风险极低。具体来讲，维生素C将五价砷氧化成三价砷有特定条件，包括高浓度的维生素C和适当的pH值（溶液的酸碱度），而人体消化系统内的pH值和环境并不满足以上条件。此外，人体内有多种机制可以有效排除少量的砷化合物。需要提醒的是，小龙虾烹调方式多样，口味大多辛辣油腻，会给消化系统带来负担，和水果一起大量食用可能导致肠胃不适，如腹痛、腹泻，但这和砷化物中毒没有直接关系。,2024/8/6,“健康中国”微信公众号,https://www.piyao.org.cn/20240806/b50ea956cf8a47debc8e04b317b13415/c.html,西瓜与小龙虾同食中毒风险低，过量食用或致肠胃不适,无,无,食药卫生
喝绿茶能抵御电脑辐射,喝绿茶不能抵御电脑辐射。这种说法缺乏科学依据，且误导性很强。绿茶确实富含抗氧化物质，如儿茶素，这些成分对人体健康有诸多好处，比如增强免疫力、减缓衰老、降低心血管疾病风险等。然而，抗氧化物质并不能阻挡或减弱电脑辐射对人体的影响。,2024/8/5,中国互联网联合辟谣平台,https://www.piyao.org.cn/20240805/4f9d97fc8c5c4557a5b9abe2abdb3734/c.html,喝绿茶不防电脑辐射，抗氧化物质无阻辐射影响。,无,无,科学常识
辽宁鞍山山洪暴发，马路成水上乐园,近日，网民王某利用群众对汛情的关注，从网络上下载来源不明的道路积水视频，并以“这也太吓人了，山洪暴发了，马路成水上乐园了”为标题在网上发布。视频引发24万次浏览、百余条评论，严重扰乱社会秩序。辽宁省鞍山市海城网信办联合公安部门依法对王某作出罚款500元的处罚，并责令其删除谣言视频。,2024/8/2,“网信鞍山”微信公众号,https://www.piyao.org.cn/20240802/22e0c6c12f6745dfa1ef868d9d45bc5a/c.html,网民王某发布虚假洪水视频，被罚500元并删视频。,辽宁,无,突发事件
走路时膝盖突然一“软”，是腿出问题了,走路时膝盖突然“软”一下，可能是多方面原因造成。,2024/8/2,中国互联网联合辟谣平台,https://www.piyao.org.cn/20240802/22e0c6c12f6745dfa1ef868d9d45bc5a/c.html,膝盖突然软一下，多因素引起。,无,无,食药卫生
广西暴雨过后，家长启动“海陆两栖战车”去学校接娃,近日，有网民在网络平台发布一条大量电动车、摩托车被洪水浸泡的短视频，并配文称“广西暴雨过后家长纷纷启动海陆两栖战车去学校接娃”。经当地网信部门查证，该视频内容为谣言，系网民刘某为博眼球赚流量，借国外发生洪灾视频编造虚假信息进行传播，对社会公共秩序造成不良影响。目前，警方已依法对刘某处以行政处罚。,2024/8/1,“广西互联网违法和不良信息举报”微信公众号,https://www.piyao.org.cn/20240801/43678a4b34fb4ad1bf093a57a99eaf02/c.html,网络谣言被传，广西暴雨接娃视频为假，制作者刘某受罚。,广西,无,突发事件
长期使用洗洁精对身体有害,所谓的“洗洁精致癌”，其实应该是甲醛超标的、不合格的洗洁精会致癌。近年来，洗洁精产品的研发技术已相对成熟，市场抽查的合格率也相当之高，几乎没有甲醛超标的问题。因此，只要是在正规渠道购买的合格产品，都可以放心使用。,2024/7/30,中国互联网联合辟谣平台,https://www.piyao.org.cn/20240730/6fccae2b56604d69aa1b233a6162d74b/c.html,合格洗洁精无致癌风险，正规渠道购买即可安全使用。,无,无,食药卫生
山东19万文科生滑档,近日，2024年山东高考普通批投档线公布，一则网传“山东19万文科考生滑档”的消息引起网民关注，加重考生及家长的担忧，甚至引发很多人对招生政策合理性的质疑。经山东济南公安部门调查，谣言散布者任某某就职于某教育科技有限公司，该公司主要从事高考志愿导航和复读推介业务。为了博取眼球、招揽生意，任某某在社交平台发布了以上虚假短视频。目前，任某某因虚构事实扰乱公共秩序，被依法处以治安拘留5日的处罚。,2024/7/29,山东互联网联合辟谣平台、公安部网安局,https://www.piyao.org.cn/20240729/a2a1f2919c664feb8f19a34998e79c90/c.html,山东高考投档线公布，谣言引恐慌，涉事者为教育公司员工，因虚构事实被拘留。,山东,无,公共政策
7月28日济南特大暴雨，社区内车辆被冲走,有网民发布视频称，“7月28日济南特大暴雨，多道路、社区内车辆被冲走”。经当地网信部门核实，该视频所包含内容为2023年7月山东济南一小区雨后受损情况，并非当前事件，网传信息不实，系旧闻炒作。,2024/7/29,山东互联网联合辟谣平台、济南互联网联合辟谣平台,https://www.piyao.org.cn/20240729/a2a1f2919c664feb8f19a34998e79c90/c.html,济南暴雨车辆被冲走为旧闻，系2023年小区雨后受损，信息不实。,山东,济南,突发事件
只有户外作业者才会得热射病吗,该说法不准确。热射病即重症中暑，是由于暴露在高温、高湿环境中，机体体温调节功能失衡，产热大于散热，导致核心温度迅速升高，超过40℃，伴有皮肤灼热、意识障碍（如谵妄、惊厥、昏迷）及多器官功能障碍的严重急性热致疾病。,2024/7/29,中国互联网联合辟谣平台,https://www.piyao.org.cn/20240729/a2a1f2919c664feb8f19a34998e79c90/c.html,热射病：高温高湿致体温调节失衡，核心温度超40℃，伴多器官功能障碍的严重急性热病。,无,无,食药卫生
福建福州世欧广场、仓山万达被淹,7月25日，网上一则“仓山万达（王庄世欧广场）被淹”的视频，引发关注。经福建省福州市联排联调中心核查，网传视频为往年的旧视频，其所在位置也并非仓山万达，实际位于王庄世欧广场及其周边。福州市晋安区有关部门进行现场勘察，证实当地一切正常，并无明显积水。仓山万达广场也无明显积水。网传视频为不实信息。,2024/7/26,“福建辟谣”微信公众号,https://www.piyao.org.cn/20240726/35fe0011a5b74571bb765cfa88f97ce8/c.html,"网传仓山万达被淹为旧视频,官方证实一切正常",福建,无,突发事件
重庆渝州交易城突发火灾,近日，某网民发布视频称“重庆渝州交易城突发火灾，现场黑烟滚滚”，引发关注。经向重庆市相关部门核实，该视频画面为2022年7月3日九龙坡区石桥铺渝州交易城某门市火情，当时并未造成人员伤亡，网传信息不实，系旧闻炒作。该片区域早已进行重建及修复，目前，渝州交易城各门市正常经营。,2024/7/26,“重庆辟谣”微信公众号,https://www.piyao.org.cn/20240726/35fe0011a5b74571bb765cfa88f97ce8/c.html,重庆渝州交易城旧闻炒作火灾，无人员伤亡，已重建正常经营。,重庆,无,突发事件
喝纯净水容易缺乏微量元素,这个说法不准确。人体吸收微量元素的途径很多，主要是通过日常饮食，如蔬菜、水果、肉类等，而不是主要依赖饮用水。并且，虽然纯净水在去除有害物质的同时也去除了一些矿物质，但并非不含任何微量元素。所以，饮用纯净水并不会影响人体对微量元素的吸收。生活中只要是符合国家饮用水安全标准的水，都可以作为日常饮用水，不会影响健康。确保全面营养摄取的关键在于保持多样化和均衡的饮食结构。,2024/7/25,科学辟谣,https://www.piyao.org.cn/20240725/47f4ea80675b4dc39dd53a46ea9acdc2/c.html,人体吸收微量元素主要靠饮食，纯净水影响有限。,无,无,食药卫生
故宫内出现汽车共享充电桩,近日，有网民发图并配文称“某新能源汽车App里，故宫出现共享充电桩，不仅显示出现在太和殿广场、乾清门广场、箭亭广场等游客密集区域，目前处于未开放状态的永寿宫区域也显示已‘安装’”。对此，故宫博物院消防负责人表示，“故宫博物院是世界文化遗产，一切可能影响遗产安全的风险都必须在保护管理的过程中加以防范。故宫不存在院内使用汽车共享充电桩的情况，经现场排查，软件中显示的充电桩均不存在。”,2024/7/24,中国互联网联合辟谣平台,https://www.piyao.org.cn/20240724/31243644058043cc8284624a9b819b02/c.html,网民称故宫现共享充电桩，实为App错误标注，已被纠正。,北京,无,突发事件
新疆喀什发生6.3级地震,近日，有网民发布帖文称“新疆喀什市7月22日发生6.3级地震，周边村庄建筑出现裂痕，部分老旧房屋在震感中受损……”。经新疆喀什市应急管理局证实，当日喀什市域内未发生地震，中国地震台网也未发布喀什当日发生地震的相关信息，此信息为虚假内容。,2024/7/24,网信新疆、新疆喀什网络举报,https://www.piyao.org.cn/20240724/31243644058043cc8284624a9b819b02/c.html,虚假信息：新疆喀什市未发生6.3级地震,新疆,无,突发事件
胃越撑越大，越饿越小,胃的容积具有一定的伸缩性，但它并不会因为长期吃得多就变得更大，也不会因为饥饿就变得更小。长期过度进食可能导致胃壁的肌肉和神经适应增强，使其扩张能力略微增加，但这种变化非常有限。反之，长期饥饿或限制饮食也可能减少食欲，但这并不会导致胃容量变小，还会对胃的自我修复非常不利。我们有时觉得自己胃口变大了，是因为人体感受饥饿和饱腹的机制受到神经系统和激素的调节。事实上，吃得饱或吃得少并不会直接影响胃的实际大小。我们应该保持规律的饮食习惯，避免过量饮食或长期饥饿，才是保护胃健康的关键。,2024/7/24,科学辟谣,https://www.piyao.org.cn/20240724/31243644058043cc8284624a9b819b02/c.html,饮食习惯影响胃功能，过量或饥饿不改胃实际大小。,无,无,食药卫生
